permision_delivery_date,n/o,id,march_route_name,company_name,company_name_external,border_crossing,border_crossing_alternative,march_route_time_direct,march_route_time_return,march_route_regularity,license_terms,destionation_country_name,destionation_country_code,march_route_status
,66,AT66,"Вінниця (АС-1, Київська,8) - Відень","ФОП Єфременюк А.Л., 
 21000, м. Вінниця, вул. Стельмаха,53А, кв.24 ліцензія АД № 062449",Austrian Incentive Service GmbH Zaklad Uslugowy «DRIVER»Majaagency S.r.o.,Краковець,,,,,2019-07-26 00:00:00,Австрія,AT,True
13.12.2016,67,RU67,"Вінниця (АС-2 Хмельницьке шосе,107)- Москва",ФОП Мазуленко В.М.,"ТОВ ""Капларі Тур""",Сеньківка,,20:45,20:45,Щоденно,2019-11-14 00:00:00,Росія,RU,True
30.11.2017,68,PL68,Вінниця  - Колобжег,"ФОП Стецик Т.В., 
 ПП ""Тернвояж"", ","
 IDEAL TRAVEL, / PHENIX Sp.z.o.o",Краковець ,Грушів,29:45,28:00,Щоденно,2020-05-04 00:00:00,Польща,PL,True
,69,MD69,"Вінниця (вул. Київська, 8) - Дрокія (Молдова)",ФОП Лещенко Ю.В.,"""BAZA DE TRANSPORT AUTO nr. 14 or FLORESTI"" S.A.",Могилів-Подільський,,06:20,06:20,Щоденно,2020-11-28 00:00:00,Молдова,MD,True
,70,ES70,"Вінниця (вул. Київська, 8) - Севілья","ТОВ ""ОДРІ"", 
 79016, м. Львів, вул. Меретина, 10/1. Ліцензія серії АВ № 545195","Joarja-98, S.L.",Чоп,,,,,2022-01-03 00:00:00,Іспанія,ES,True
,71,LV71,"Вінниця (центральний АВ вул. Київська,8) - Рига","ТОВ Українські лінії 03113, м. Київ, пр. Перемоги, 62б. Ліцензія серії АЕ № 572036","""Норма-А""","Ягодин, Устилуг",,,,,2021-09-25 00:00:00,Латвія,LV,True
,72,PL72,Вінниця АС-1 - Бидгощ,ФОП Форись С.А.,«Spolka z ograniczona odpowiedzialnoscia WEZUN»,Рава-Руська,,25:00,25:00,Щоденно,2020-03-21 00:00:00,Польща,PL,True
13.07.2017,73,PL73,"Вінниця АС-1 (вул. Київська,8) - Варшава",ФОП Мостика В.К.,польський перевізник USLUGI PRZEWOZOWE Iwona Hunkiewicz,Ягодин,,18:00|16:55,16:45,Щоденно,2020-12-07 00:00:00,Польща,PL,True
04.08.2017,74,PL74,"Вінниця АС-1 (вул. Київська,8) - Варшава",ФОП Стецик Т.В. ,польський перевізник IDEAL TRAVEL,Ягодин  ,Устилуг,17:30,15:45,Щоденно,2020-03-08 00:00:00,Польща,PL,True
,75,IT75,"Вінниця АС-1 (Київська,8) - Фоджа","ФОП Баранніков Р. О. 47387, с. Травневе, Збаразький р-н, Тернопільська обл. вул. Дружби,61, тел. +380673992013",MOFA TURISMO E SERVIZI s.r.l.,Чоп,,,,,2020-04-27 00:00:00,Італія,IT,True
,76,MD76,Вінниця-Кишинів,"ФОП ""Гречанюк В.І."" ",ООО Jitari P-Trans,Болган,,08:10,,Щоденно,2020-03-21 00:00:00,Молдова,MD,True
,77,IT77,"Вінниця АС-1 Центральна (вул. Київська,8) - Больцано",ФОП Гирила М.Я.,італійський перевізник MOFFA TURISMO E SERVIZI S.R.L.,Чоп/Лужанка,,,,,2020-07-20 00:00:00,Італія,IT,True
18.02.2019,79,RU79,Вінниця-Москва,ФОП Мазуленко В.М.,"ООО ""Автокомбінат №45""",Бачівськ,,21:35,22:45,Щоденно,2024-02-17 00:00:00,Росія,RU,True
09.06.2017,81,PL81,Володимир-Волинський - Люблін,ПП Павловський І.П.,ZUT-H Teresa Marcyniuk,Ягодин,,04:30,04:30,Щоденно,2022-08-06 00:00:00,Польща,PL,True
,82,PL82,Володимир-Волинський - Хелм,"ПП Павловський І.П. 44750, Волинська обл., Володимир-Волинський р-н, с. Льотниче, вул. Комсомольська, 17 Ліцензія серії АГ № 504969",Zaklad Uslug Transportnowo-Handlowych TEREZA MARCYNIUK,Угринів / Ягодин,,,,,2022-04-10 00:00:00,Польща,PL,True
,83,PL83,Володимир-Волинський - Хелм,ПП Павловський І.П. ,Zaklad Uslug Transportnowo-Handlowych TEREZA MARCYNIUK,Устилуг , Ягодин,2:50,2:50,Щоденно,2022-04-10 00:00:00,Польща,PL,True
,84,PL84,Володимир-Волинський-Красностав,"ПП ""Павловський І.П."" ",ZU-H Teresa Marcyniuk,Ягодин,,04:20,04:20,Щоденно,2021-09-24 00:00:00,Польща,PL,True
23.09.2016,85,PL85,Горохів АС - Варшава,ПП «Волиньавтотранс»,Lubelskie Linie Autobusowe Sp.z.o.o.,Ягодин,,11:40,11:40,Щоденно,2019-09-22 00:00:00,Польща,PL,True
,87,CZ87,"ДНІПРО АС вул. Курчатова,10 - ПЛЗЕНЬ","ТОВ ""Аскуктранс"", 36000, Полтавська обл., М. Полтава, вул. Кондратюка, буд.2, кв. 28 , Ліцензія АЕ № 573184","польський перевізник Kaczynski BUS Sp.z.o.o. чеські перевізники Roca Travelino s.r.o., Ihor KARPA",Краковець / Шегині,,,,,2020-08-30 00:00:00,Чехія,CZ,True
,88,RU88,"Дніпро (а/в вул. Курчатова,10) - Москва(АВ ""Теплый Стан"")","ТОВ ""АВТО-ОВІ"", 61099, м. Харків, пр-т. Московський, 248 г, ліцензія АЕ № 421550","ООО ""Турцентр-Єкспо""",Гоптівка,,,,,2023-01-30 00:00:00,Росія,RU,True
,89,RU89,"Дніпро (АВ вул. Курчатова,10) - Москва (Новоясенівський просп.,4)","ПП Осипа С.М. 
 84301, м. Краматорськ, Донецька обл., вул. Двірцева, 38/241
 ТОВ АТП 11231",без паритету,Гоптівка / Плетенівка,,,,,2019-07-20 00:00:00,Росія,RU,True
,90,RU90,"Дніпро (АВ вул. Курчатова,10) - Москва (Новоясенівський просп.,4)","ПП Осипа С.М. 
 84301, м. Краматорськ, Донецька обл., вул. Двірцева, 38/241",без паритету,Гоптівка,,,,,2020-12-17 00:00:00,Росія,RU,True
22.11.2016,91,PL91,Дніпро  - Слубіце,"ТзОВ ""Львівське АТП - 14631"", 
 ",SINDBAD Sp.z.o.o.,Краковець,,37:30,36:50,Щоденно,2019-11-21 00:00:00,Польща,PL,True
,92,CZ92,"Дніпро (АС ""АВЦ"", вул. Курчатова,10)-Прага","ТОВ ""ЛІНІЇ ПОЛІССЯ"", """,Чеський перевізник Musil Tour spol.s.r.o. Польський перевізник Jace Legendziewicz Jordan Group,Краковець,,38:30 | 39:00,34:40 | 35:00,Щоденно,2020-03-20 00:00:00,Чехія,CZ,True
,93,IT93,"Дніпро (вул. Курчатова, 10) - Салерно","ТОВ ""Одрі"" 79016, м. Львів, вул. Меретина, 10/1 Ліцензія серії АВ № 545195",MOFFA TURISMO E SERVIZI s.r.l.,Лужанка,,,,,2020-10-09 00:00:00,Італія,IT,True
,94,PL94,"Дніпро (вул. Курчатова, 10) - Слупськ","ТОВ ""ЕЛІТ-АВТО ПЛЮС"" 
 03151, м. Київ, вул Молодогвардійська, буд. 11. Ліцензія АЕ 573261. ЄДРПОУ 34484358.
 ФОП Сікорський В.В. 
 09100, Київська обл., м. БІла Церква, вул. Чайковського, буд. 58. Ліцензія від 08.08.2017 № 757. ЄДРПОУ 2871609298.",Kantol Anatolii Kantor,Ягодин,Устилуг,34:15,35:10,Щоденно,2020-11-19 00:00:00,Польща,PL,True
